seed,scenario,configuration,metric,value,unit,n_observations
0,S1,EVSE=50,mean_session_establishment_overhead,175.4113632142457,ms,2204
1,S1,EVSE=50,mean_session_establishment_overhead,175.29862019569015,ms,2204
2,S1,EVSE=50,mean_session_establishment_overhead,174.8915538320083,ms,2192
3,S1,EVSE=50,mean_session_establishment_overhead,173.68175749956495,ms,2211
4,S1,EVSE=50,mean_session_establishment_overhead,175.4739650276402,ms,2189
5,S1,EVSE=50,mean_session_establishment_overhead,175.07951542886403,ms,2240
6,S1,EVSE=50,mean_session_establishment_overhead,175.39172290336302,ms,2221
7,S1,EVSE=50,mean_session_establishment_overhead,174.8037407832241,ms,2235
8,S1,EVSE=50,mean_session_establishment_overhead,175.39162552598106,ms,2235
9,S1,EVSE=50,mean_session_establishment_overhead,175.5966044848073,ms,2213
10,S1,EVSE=50,mean_session_establishment_overhead,174.30119221614325,ms,2192
11,S1,EVSE=50,mean_session_establishment_overhead,174.33676888892356,ms,2212
12,S1,EVSE=50,mean_session_establishment_overhead,173.92669143464292,ms,2215
13,S1,EVSE=50,mean_session_establishment_overhead,176.09220126020156,ms,2196
14,S1,EVSE=50,mean_session_establishment_overhead,174.6969319850265,ms,2242
15,S1,EVSE=50,mean_session_establishment_overhead,174.61214468005846,ms,2191
16,S1,EVSE=50,mean_session_establishment_overhead,175.3157041896777,ms,2190
17,S1,EVSE=50,mean_session_establishment_overhead,175.65233598637772,ms,2196
18,S1,EVSE=50,mean_session_establishment_overhead,174.3223155446329,ms,2216
19,S1,EVSE=50,mean_session_establishment_overhead,175.10717126487611,ms,2235
20,S1,EVSE=50,mean_session_establishment_overhead,175.44464297577426,ms,2239
21,S1,EVSE=50,mean_session_establishment_overhead,175.14643229224632,ms,2193
22,S1,EVSE=50,mean_session_establishment_overhead,175.12569211429798,ms,2215
23,S1,EVSE=50,mean_session_establishment_overhead,174.74771072209754,ms,2229
24,S1,EVSE=50,mean_session_establishment_overhead,174.27621165680264,ms,2191
25,S1,EVSE=50,mean_session_establishment_overhead,174.54369080335405,ms,2201
26,S1,EVSE=50,mean_session_establishment_overhead,174.77957075120332,ms,2222
27,S1,EVSE=50,mean_session_establishment_overhead,175.24461280680597,ms,2179
28,S1,EVSE=50,mean_session_establishment_overhead,175.43265623468972,ms,2202
29,S1,EVSE=50,mean_session_establishment_overhead,175.52729218789932,ms,2215
30,S1,EVSE=50,mean_session_establishment_overhead,175.29434410988316,ms,2217
31,S1,EVSE=50,mean_session_establishment_overhead,174.68645524078718,ms,2179
32,S1,EVSE=50,mean_session_establishment_overhead,175.33129571076387,ms,2221
33,S1,EVSE=50,mean_session_establishment_overhead,175.83525936107972,ms,2197
34,S1,EVSE=50,mean_session_establishment_overhead,175.0926893217094,ms,2201
35,S1,EVSE=50,mean_session_establishment_overhead,173.81490840650295,ms,2260
36,S1,EVSE=50,mean_session_establishment_overhead,175.26102725048744,ms,2200
37,S1,EVSE=50,mean_session_establishment_overhead,176.6863548415116,ms,2221
38,S1,EVSE=50,mean_session_establishment_overhead,175.70503960691812,ms,2174
39,S1,EVSE=50,mean_session_establishment_overhead,174.9823963549499,ms,2264
40,S1,EVSE=50,mean_session_establishment_overhead,176.20760252045042,ms,2220
41,S1,EVSE=50,mean_session_establishment_overhead,175.50282305582138,ms,2192
42,S1,EVSE=50,mean_session_establishment_overhead,174.10440283938942,ms,2188
43,S1,EVSE=50,mean_session_establishment_overhead,175.95548071326658,ms,2226
44,S1,EVSE=50,mean_session_establishment_overhead,174.46322213755758,ms,2224
45,S1,EVSE=50,mean_session_establishment_overhead,174.06133731451186,ms,2215
46,S1,EVSE=50,mean_session_establishment_overhead,175.80564083158936,ms,2238
47,S1,EVSE=50,mean_session_establishment_overhead,175.7698340924502,ms,2210
48,S1,EVSE=50,mean_session_establishment_overhead,175.4458841397994,ms,2172
49,S1,EVSE=50,mean_session_establishment_overhead,174.56217899019308,ms,2249
50,S1,EVSE=50,mean_session_establishment_overhead,175.47666423881813,ms,2193
51,S1,EVSE=50,mean_session_establishment_overhead,174.59232166713,ms,2209
52,S1,EVSE=50,mean_session_establishment_overhead,173.87775142663403,ms,2203
53,S1,EVSE=50,mean_session_establishment_overhead,174.94419790611894,ms,2193
54,S1,EVSE=50,mean_session_establishment_overhead,174.34101523329252,ms,2169
55,S1,EVSE=50,mean_session_establishment_overhead,175.69115280849806,ms,2198
56,S1,EVSE=50,mean_session_establishment_overhead,175.6244234153962,ms,2197
57,S1,EVSE=50,mean_session_establishment_overhead,175.97789917584853,ms,2195
58,S1,EVSE=50,mean_session_establishment_overhead,175.16923344597578,ms,2165
59,S1,EVSE=50,mean_session_establishment_overhead,175.50156322693286,ms,2179
60,S1,EVSE=50,mean_session_establishment_overhead,175.23343679186505,ms,2182
61,S1,EVSE=50,mean_session_establishment_overhead,174.01927346022248,ms,2244
62,S1,EVSE=50,mean_session_establishment_overhead,175.0494011561433,ms,2200
63,S1,EVSE=50,mean_session_establishment_overhead,175.27659632628433,ms,2213
64,S1,EVSE=50,mean_session_establishment_overhead,175.1735314360841,ms,2202
65,S1,EVSE=50,mean_session_establishment_overhead,175.29365197368813,ms,2194
66,S1,EVSE=50,mean_session_establishment_overhead,175.6004509757418,ms,2194
67,S1,EVSE=50,mean_session_establishment_overhead,175.4280076402291,ms,2214
68,S1,EVSE=50,mean_session_establishment_overhead,174.45683927455718,ms,2195
69,S1,EVSE=50,mean_session_establishment_overhead,174.40502667838405,ms,2225
70,S1,EVSE=50,mean_session_establishment_overhead,174.9600303321151,ms,2217
71,S1,EVSE=50,mean_session_establishment_overhead,175.94722170778718,ms,2208
72,S1,EVSE=50,mean_session_establishment_overhead,173.92018648235538,ms,2186
73,S1,EVSE=50,mean_session_establishment_overhead,175.50944219683035,ms,2278
74,S1,EVSE=50,mean_session_establishment_overhead,175.17900487660722,ms,2167
75,S1,EVSE=50,mean_session_establishment_overhead,176.38570984008365,ms,2223
76,S1,EVSE=50,mean_session_establishment_overhead,175.6843665988197,ms,2200
77,S1,EVSE=50,mean_session_establishment_overhead,175.26567433390113,ms,2242
78,S1,EVSE=50,mean_session_establishment_overhead,176.78241227203713,ms,2173
79,S1,EVSE=50,mean_session_establishment_overhead,174.75459862082505,ms,2230
80,S1,EVSE=50,mean_session_establishment_overhead,174.8183515246394,ms,2221
81,S1,EVSE=50,mean_session_establishment_overhead,175.6861182034801,ms,2225
82,S1,EVSE=50,mean_session_establishment_overhead,175.14421583578405,ms,2211
83,S1,EVSE=50,mean_session_establishment_overhead,174.70373855960034,ms,2188
84,S1,EVSE=50,mean_session_establishment_overhead,174.27701970685325,ms,2211
85,S1,EVSE=50,mean_session_establishment_overhead,174.93279023664857,ms,2195
86,S1,EVSE=50,mean_session_establishment_overhead,175.4787180350196,ms,2222
87,S1,EVSE=50,mean_session_establishment_overhead,174.7618148161695,ms,2228
88,S1,EVSE=50,mean_session_establishment_overhead,175.42225486137482,ms,2178
89,S1,EVSE=50,mean_session_establishment_overhead,175.11124157315624,ms,2212
90,S1,EVSE=50,mean_session_establishment_overhead,175.99590339689655,ms,2172
91,S1,EVSE=50,mean_session_establishment_overhead,175.54228304874866,ms,2200
92,S1,EVSE=50,mean_session_establishment_overhead,175.16379299478245,ms,2209
93,S1,EVSE=50,mean_session_establishment_overhead,174.74559713300224,ms,2174
94,S1,EVSE=50,mean_session_establishment_overhead,175.28191445113598,ms,2178
95,S1,EVSE=50,mean_session_establishment_overhead,175.7083433222094,ms,2211
96,S1,EVSE=50,mean_session_establishment_overhead,175.47126744323245,ms,2186
97,S1,EVSE=50,mean_session_establishment_overhead,175.60396660003565,ms,2191
98,S1,EVSE=50,mean_session_establishment_overhead,175.0425599139649,ms,2222
99,S1,EVSE=50,mean_session_establishment_overhead,176.03518621747162,ms,2243
0,S1-sensitivity,EVSE=50,mean_session_establishment_overhead,175.4113632142457,ms,2204
1,S1-sensitivity,EVSE=50,mean_session_establishment_overhead,175.29862019569015,ms,2204
2,S1-sensitivity,EVSE=50,mean_session_establishment_overhead,174.8915538320083,ms,2192
